sift_method;sift_type;step_size;vocabulary_size;number_of_training_samples;number_of_testing_samples;MAP;AP1;AP2;AP3;AP4;runtime
dense;gray;15;400;4;50;0.650084;0.416305;0.536062;0.870639;0.777328;45.707931
dense;gray;15;800;4;50;0.663604;0.423077;0.609528;0.875363;0.746446;48.854719
dense;gray;15;1600;4;50;0.644730;0.409111;0.585536;0.834572;0.749701;54.746999
dense;gray;15;2000;4;50;0.653316;0.470010;0.564007;0.861116;0.718130;58.659214
dense;gray;15;4000;4;50;0.637616;0.455631;0.564279;0.824061;0.706494;74.309656
dense;gray;15;400;4;50;0.685234;0.453317;0.597039;0.887042;0.803539;46.414410
dense;RGB;15;400;4;50;0.762661;0.748742;0.688007;0.959972;0.653924;77.912433
dense;rgb;15;400;4;50;0.763920;0.615796;0.649885;0.952837;0.837160;77.046063
dense;opponent;15;400;4;50;0.724814;0.665707;0.577773;0.969940;0.685837;78.966070
dense;gray;15;400;4;50;0.684120;0.473134;0.641289;0.867692;0.754366;46.446625
keypoint;gray;15;400;4;50;0.548699;0.527996;0.541639;0.453520;0.671643;18.812632
dense;gray;10;400;4;50;0.758962;0.652651;0.596214;0.901073;0.885911;59.542572
dense;gray;15;400;4;50;0.691202;0.524193;0.556794;0.869300;0.814520;46.324108
dense;gray;20;400;4;50;0.601532;0.433375;0.515907;0.824512;0.632333;44.811961
dense;gray;15;400;16;50;0.925959;0.947442;0.903322;0.980265;0.872809;77.631965
dense;gray;15;800;16;50;0.925376;0.940761;0.925033;0.979218;0.856492;85.967834
dense;gray;15;1600;16;50;0.917201;0.940137;0.893299;0.983424;0.851946;103.608711
dense;gray;15;2000;16;50;0.916514;0.945674;0.883405;0.981556;0.855422;112.099630
dense;gray;15;4000;16;50;0.915620;0.943707;0.891381;0.968402;0.858989;138.273900
dense;gray;15;400;16;50;0.921763;0.943636;0.890550;0.979626;0.873239;91.061781
dense;RGB;15;400;16;50;0.891917;0.932414;0.903160;0.962753;0.769342;147.260309
dense;rgb;15;400;16;50;0.910214;0.920376;0.844232;0.972734;0.903514;167.683979
dense;opponent;15;400;16;50;0.912276;0.914030;0.900299;0.989534;0.845242;148.932047
dense;gray;15;400;16;50;0.914980;0.937140;0.897035;0.973995;0.851751;84.586585
keypoint;gray;15;400;16;50;0.810996;0.744493;0.835484;0.839152;0.824855;35.498355
dense;gray;10;400;16;50;0.947256;0.965495;0.939113;0.982276;0.902141;165.745622
dense;gray;15;400;16;50;0.922964;0.945944;0.896143;0.976852;0.872918;88.755115
dense;gray;20;400;16;50;0.885615;0.956563;0.813491;0.950977;0.821430;73.886151
dense;gray;15;400;64;50;0.978484;0.982099;0.968754;0.986750;0.976334;322.532863
dense;gray;15;800;64;50;0.974346;0.984315;0.949250;0.991186;0.972633;393.295610
dense;gray;15;1600;64;50;0.972999;0.979498;0.954978;0.993234;0.964286;499.117492
dense;gray;15;2000;64;50;0.975302;0.985335;0.953988;0.995626;0.966261;617.287702
dense;gray;15;4000;64;50;0.974578;0.981149;0.946743;0.996889;0.973531;570.689465
dense;gray;15;400;64;50;0.961841;0.981684;0.906413;0.985045;0.974223;354.630767
dense;RGB;15;400;64;50;0.947059;0.962903;0.952964;0.973792;0.898576;778.749550
dense;rgb;15;400;64;50;0.914693;0.928119;0.860614;0.973804;0.896235;591.133544
dense;opponent;15;400;64;50;0.926660;0.931656;0.923546;0.991155;0.860283;861.047987
dense;gray;15;400;64;50;0.967419;0.982489;0.934279;0.992534;0.960374;353.371833
keypoint;gray;15;400;64;50;0.890243;0.901190;0.828553;0.900944;0.930284;131.324819
dense;gray;10;400;64;50;0.982873;0.979386;0.978552;0.990030;0.983523;648.548437
dense;gray;15;400;64;50;0.974864;0.976155;0.949267;0.989157;0.984878;301.966655
dense;gray;20;400;64;50;0.964055;0.988734;0.938104;0.984944;0.944437;188.188153
dense;gray;15;400;200;50;0.976182;0.988506;0.933496;0.997622;0.985106;1024.335822
dense;gray;15;800;200;50;0.972663;0.974574;0.961170;0.999608;0.955299;1739.780811
dense;gray;15;1600;200;50;0.983948;0.988763;0.967724;0.996761;0.982543;3172.093693
dense;gray;15;2000;200;50;0.990224;0.985772;0.989146;0.996701;0.989278;3394.840699
dense;gray;15;4000;200;50;0.985598;0.988171;0.978365;0.998060;0.977795;4557.486454
dense;gray;15;400;200;50;0.977126;0.978318;0.972931;0.998800;0.958454;1019.516100
dense;RGB;15;400;200;50;0.965977;0.990363;0.963559;0.992183;0.917804;2619.932203
dense;rgb;15;400;200;50;0.957161;0.971703;0.966962;0.985136;0.904841;2621.008077
dense;opponent;15;400;200;50;0.966427;0.961995;0.993924;0.990877;0.918914;2626.165851
dense;gray;15;400;200;50;0.964545;0.979715;0.928182;0.995305;0.954978;1029.708545
keypoint;gray;15;400;200;50;0.918825;0.966324;0.905089;0.924843;0.879045;630.448159
dense;gray;10;400;200;50;0.978621;0.978736;0.958655;1.000000;0.977092;2003.152402
dense;gray;15;400;200;50;0.974150;0.979961;0.959964;0.998468;0.958208;1084.414734
dense;gray;20;400;200;50;0.962113;0.981159;0.947337;0.989062;0.930893;745.808863
